starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 16
date: 2024-12-11 11:24:56.532111 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:25:11.434550 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:25:26.092955 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 11:25:40.987115 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 11:25:53.388993 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:26:06.779276 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 11:26:18.839446 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 11:26:31.031744 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:26:45.880198 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 11:27:01.434474 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:27:16.844892 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:27:31.039970 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:27:43.253354 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 11:27:56.435836 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:28:08.545638 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 11:28:20.234247 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 11:28:35.228375 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 11:28:50.345569 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:29:05.752058 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:29:17.835054 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:29:29.346403 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:29:40.541443 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:29:52.280279 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:30:04.637164 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:30:16.342560 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:30:26.851898 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:30:39.379826 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:30:51.756897 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:31:03.148915 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:31:15.753651 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:31:27.750345 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:31:39.881152 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:31:52.041376 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:32:04.345826 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:32:16.345400 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:32:31.335159 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:32:46.747124 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:32:58.181682 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:33:11.240568 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 11:33:23.074100 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
