starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 16
date: 2024-12-11 14:10:05.576928 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 14:10:15.591657 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 14:10:25.608573 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 14:10:35.633867 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 14:10:45.657415 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 14:10:55.691007 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 14:11:05.723212 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 14:11:15.759742 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 14:11:25.794432 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 14:11:35.838724 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=1, avg=1.00, max=16
date: 2024-12-11 14:11:45.887170 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=2, avg=2.00, max=16
date: 2024-12-11 14:11:55.961466 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=7, avg=7.00, max=16
date: 2024-12-11 14:12:06.179419 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=30, avg=30.00, max=16
date: 2024-12-11 14:12:16.573247 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=41, avg=41.00, max=16
date: 2024-12-11 14:12:26.732585 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=34, avg=34.00, max=16
