"Time","emqx"
2025-01-07 02:41:00,0.190
2025-01-07 02:42:00,0.419
2025-01-07 02:43:00,0.505
2025-01-07 02:44:00,0.573
2025-01-07 02:45:00,0.470
2025-01-07 02:46:00,0.562
2025-01-07 02:47:00,0.539
2025-01-07 02:48:00,0.633
2025-01-07 02:49:00,0.519
2025-01-07 02:50:00,0.515
2025-01-07 02:51:00,0.554
2025-01-07 02:52:00,0.506
2025-01-07 02:53:00,0.410
2025-01-07 02:54:00,0.407
2025-01-07 02:55:00,0.412
2025-01-07 02:56:00,0.505
2025-01-07 02:57:00,0.497
2025-01-07 02:58:00,0.451
2025-01-07 02:59:00,0.436
2025-01-07 03:00:00,0.460
2025-01-07 03:01:00,0.434
2025-01-07 03:02:00,0.433
2025-01-07 03:03:00,0.444
2025-01-07 03:04:00,0.394
2025-01-07 03:05:00,0.385
2025-01-07 03:06:00,0.535
2025-01-07 03:07:00,0.424
2025-01-07 03:08:00,0.464
2025-01-07 03:09:00,0.518
2025-01-07 03:10:00,0.426
2025-01-07 03:11:00,0.410
2025-01-07 03:12:00,0.431
2025-01-07 03:13:00,0.370
2025-01-07 03:14:00,0.127
2025-01-07 03:15:00,0.0425
2025-01-07 03:16:00,0.0393
2025-01-07 03:17:00,0.0397
2025-01-07 03:18:00,0.0410
2025-01-07 03:19:00,0.0397
2025-01-07 03:20:00,0.0388
2025-01-07 03:21:00,0.0360
2025-01-07 03:22:00,0.0365
2025-01-07 03:23:00,0.0382
2025-01-07 03:24:00,0.0408
2025-01-07 03:25:00,0.0368
2025-01-07 03:26:00,0.0413
2025-01-07 03:27:00,0.0392
2025-01-07 03:28:00,0.0424
2025-01-07 03:29:00,0.0409
2025-01-07 03:30:00,0.0390
2025-01-07 03:31:00,0.0356
2025-01-07 03:32:00,0.0394
2025-01-07 03:33:00,0.0384
2025-01-07 03:34:00,0.0405
2025-01-07 03:35:00,0.0429
2025-01-07 03:36:00,0.0401
2025-01-07 03:37:00,0.0392
2025-01-07 03:38:00,0.0414
2025-01-07 03:48:00,0.0670
2025-01-07 03:49:00,0.0143
2025-01-07 03:50:00,0.304
2025-01-07 03:51:00,0.348
2025-01-07 03:52:00,0.387
2025-01-07 03:53:00,0.434
2025-01-07 03:54:00,0.480
2025-01-07 03:55:00,0.507
2025-01-07 03:56:00,0.512
2025-01-07 03:57:00,0.507
2025-01-07 03:58:00,0.508
2025-01-07 03:59:00,0.523
2025-01-07 04:00:00,0.527
2025-01-07 04:01:00,0.524
2025-01-07 04:02:00,0.525
2025-01-07 04:03:00,0.528
2025-01-07 04:04:00,0.537
2025-01-07 04:05:00,0.552
2025-01-07 04:06:00,0.569
2025-01-07 04:07:00,0.570
2025-01-07 04:08:00,0.569
2025-01-07 04:09:00,0.567
2025-01-07 04:10:00,0.558
2025-01-07 04:11:00,0.511
2025-01-07 04:12:00,0.463
2025-01-07 04:13:00,0.402
2025-01-07 04:14:00,0.364
2025-01-07 04:15:00,0.354
2025-01-07 04:16:00,0.385
2025-01-07 04:17:00,0.281
2025-01-07 04:18:00,0.194
2025-01-07 04:19:00,0.182
2025-01-07 04:20:00,0.189
2025-01-07 04:21:00,0.183
2025-01-07 04:22:00,0.0441
2025-01-07 04:23:00,0.0325
2025-01-07 04:24:00,0.0359
2025-01-07 04:25:00,0.0365
2025-01-07 04:26:00,0.0379
2025-01-07 04:27:00,0.0340
2025-01-07 04:28:00,0.0385
2025-01-07 04:29:00,0.0353
2025-01-07 04:30:00,0.0344
2025-01-07 04:31:00,0.0328
2025-01-07 04:32:00,0.0380
2025-01-07 04:33:00,0.0322
2025-01-07 04:34:00,0.0364
2025-01-07 04:35:00,0.0415
2025-01-07 04:36:00,0.0375
2025-01-07 04:37:00,0.0350
2025-01-07 04:38:00,0.0384
2025-01-07 04:39:00,0.0336
2025-01-07 04:40:00,0.0350
2025-01-07 04:41:00,0.0379
2025-01-07 04:42:00,0.0393
2025-01-07 04:43:00,0.0384
2025-01-07 04:44:00,0.0343
2025-01-07 04:45:00,0.0319
2025-01-07 04:46:00,0.0352
2025-01-07 04:47:00,0.0341
2025-01-07 04:48:00,0.0368
2025-01-07 04:49:00,0.0378
2025-01-07 04:50:00,0.0358
2025-01-07 04:51:00,0.0369
2025-01-07 04:52:00,0.0330
2025-01-07 04:53:00,0.0322
2025-01-07 04:54:00,0.0386
2025-01-07 04:55:00,0.0377
2025-01-07 04:56:00,0.0383
2025-01-07 04:57:00,0.0346
2025-01-07 04:58:00,0.0344
2025-01-07 04:59:00,0.0372
2025-01-07 05:00:00,0.0382
2025-01-07 05:01:00,0.0351
2025-01-07 05:02:00,0.0354
2025-01-07 05:03:00,0.0411
2025-01-07 05:04:00,0.0338
2025-01-07 05:05:00,0.0381
2025-01-07 05:06:00,0.0397
2025-01-07 05:07:00,0.0399
2025-01-07 05:08:00,0.0376
2025-01-07 05:09:00,0.0329
2025-01-07 05:10:00,0.0351
2025-01-07 05:11:00,0.0333
2025-01-07 05:12:00,0.0362
2025-01-07 05:41:00,0.0172
2025-01-07 05:42:00,0.0192
2025-01-07 05:43:00,0.0206
2025-01-07 05:44:00,0.0208
2025-01-07 05:45:00,0.0208
2025-01-07 05:46:00,0.0218
2025-01-07 05:47:00,0.0247
