starting with cluster address: emqx.dtwins:18083
cluster user set to: my-app and cluster password set to: AAA4A275-BEEC-4AF8-B70B-DAAC0341F8EB
kubernetes api address set to: someaddress:6443
max queue set to: 1000 and max inflight set to: 16
date: 2024-12-11 07:46:15.317052 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:46:25.383429 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:46:35.450230 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:46:45.514557 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:46:55.582083 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:47:05.640180 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:47:15.707678 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:47:25.773024 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:47:35.841152 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:47:45.912937 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:47:55.983742 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:48:06.049436 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:48:16.117065 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:48:26.186476 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:48:36.254934 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:48:46.325927 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:48:56.390185 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:49:06.458406 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:49:16.525460 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:49:26.594413 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:49:36.657604 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:49:46.723700 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:49:56.796911 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:50:06.861833 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:50:16.936838 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:50:27.011424 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:50:37.077584 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:50:47.146317 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:50:57.214433 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:51:07.282907 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:51:17.350159 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:51:27.416973 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:51:37.481398 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:51:47.543826 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:51:57.610733 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:52:07.669152 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:52:17.736306 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:52:27.804775 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:52:37.872946 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
date: 2024-12-11 07:52:47.940559 | Queue: total=0, avg=0.00, max=1000 | Inflight: total=0, avg=0.00, max=16
